,0,1,2,3,4,5,6,7
0,True,False,False,False,False,False,False,False
1,True,True,False,False,False,True,True,True
2,False,False,False,False,False,True,False,False
3,False,False,False,False,False,False,False,False
4,True,True,False,False,False,False,False,False
5,False,False,False,False,False,False,False,True
6,True,False,False,False,False,False,False,False
7,True,False,False,False,False,True,True,True
8,True,False,False,False,False,True,False,True
9,False,False,False,False,False,False,False,True
10,True,True,False,False,False,False,False,False
11,True,True,False,False,False,False,False,True
12,False,False,False,False,False,False,False,True
13,True,True,False,False,False,False,False,False
14,False,False,False,False,False,True,False,False
15,False,False,False,False,False,False,False,False
16,True,True,False,False,False,False,False,False
17,True,True,True,False,False,True,True,True
18,True,True,False,False,False,False,True,True
19,True,False,False,False,False,False,False,True
20,True,False,False,False,False,False,False,False
21,False,False,False,False,False,False,False,True
22,False,False,False,False,False,False,False,True
23,True,False,False,False,False,False,False,True
24,False,False,False,False,False,False,False,True
25,True,False,False,False,False,False,False,True
26,False,False,False,False,False,False,False,False
27,False,False,False,False,False,False,False,True
28,False,False,False,False,False,True,False,True
29,False,False,False,False,False,False,False,False
30,False,False,False,False,False,False,True,True
31,True,True,False,False,False,False,False,False
32,False,False,False,False,False,False,False,False
33,True,True,False,False,False,True,True,True
34,False,False,False,False,False,False,False,False
35,False,False,False,False,False,False,False,True
36,False,False,False,False,False,False,False,False
37,False,False,False,False,False,True,False,False
38,False,False,False,False,False,True,False,False
39,False,False,False,False,False,False,False,False
40,True,False,False,False,False,True,True,True
41,False,False,False,False,False,False,False,False
42,True,True,False,False,False,False,False,True
43,True,True,True,False,False,False,False,False
44,True,True,False,False,False,False,False,True
45,True,False,False,False,False,False,False,False
46,False,False,False,False,False,True,False,True
47,True,False,False,False,False,False,False,False
48,False,False,False,False,False,False,False,False
49,True,True,False,False,False,False,True,True
50,False,False,False,False,False,False,False,True
51,False,False,False,False,False,False,False,False
52,True,True,True,True,False,False,False,True
53,True,False,False,False,False,False,False,False
54,False,False,False,False,False,False,False,False
55,False,False,False,False,False,True,False,False
56,False,False,False,False,False,False,False,False
57,False,False,False,False,False,False,False,False
