4,2,11,8,3,645438
5,5,23,16,3,799355
6,2,59,32,51,683589
7,2,83,38,31,736536
8,5,167,97,41,874997
9,13,479,450,421,816968
10,11,839,371,412,846619
11,2,1907,1707,868,1079542
12,2,3779,3341,2661,964995
13,2,5099,1431,1046,905890
14,2,14387,12778,12360,1125657
15,7,27239,24296,18270,1184957
16,7,54959,45417,50029,949382
17,17,70199,24482,18769,1160507
18,2,199523,24575,6224,1282562
19,5,279023,41027,159664,838348
20,2,551843,290559,348898,1445882
21,5,2024063,795705,1482619,1650820
22,2,3092723,110536,2861856,967791
23,5,7939847,1634011,922087,1287409
24,5,9143567,6603419,6821164,1412215
25,5,27655487,15188336,3041978,1428198
26,2,49541267,20817509,22690588,1273019
27,2,101386667,306297,46101123,1304039
28,2,193601579,99436267,131303801,1769239
29,2,272355563,163483806,58003316,1370151
30,2,551914523,226820726,92462129,1443403
31,2,2129304803,814582113,1302962633,1482634
32,5,3119779127,2408616638,1345874554,2200840
33,2,4353819227,1350911793,4339677275,1910473
34,11,9221837399,4672327552,4665459665,1950336
35,2,31581245483,5133757497,27588380329,1642657
36,2,37807779827,21660727264,27165476758,1683070
37,2,98125213883,73095914778,234632095,1913466
38,7,255411337199,186271100838,3996130383,2048906
39,5,448544640767,124960657263,424933221183,1969110
40,7,979153278359,973898831592,850213304670,2058449
41,2,1342723221899,975939639359,440747484490,2213745
42,2,3231993700907,1664544097685,869279865556,2359198
43,7,8514468329999,3353551663129,6581255453224,2500921
44,2,12016522589147,5382496736374,8334206907886,2803293
45,2,24479431702379,3315002229213,12172988720171,2739340
46,13,50733318059639,41281433041904,48625838192029,2806056
47,5,128340820372943,72531631097059,68707132004317,2811732
48,7,261852669109679,202348670759254,156305560279519,2289554
49,2,403754677773179,176138331865176,3171233205026,2956102
50,2,744071024031443,332739013948987,448815907380489,2493305
51,11,1635180761623919,525777684400167,1496690029942383,2914458
52,17,3388867540531079,791599573879219,2712102310433844,2400439
53,17,4630102355876399,531907816820740,2529811780013817,2628360
54,2,16302590302128227,550486813686712,8302085330401664,4701454
55,5,23249874762058727,3117129946070912,16827761590916866,3307744
56,2,49421361382468499,41423824076027573,39353484064440259,3804799
57,2,120274477475780939,23220945270839555,84741324328273164,3086712
58,2,168425296341539219,17367661667555293,7804757575976505,4193885
59,2,572777026054659467,255475014268077803,367691315621002226,3988206
60,5,1144044817212404447,478010786109271905,223359412507880723,3921015
61,2,1568548029376699643,668403809780870475,605930951699538243,3367507
62,2,2519781686813574419,2055413071095879927,761255708731657271,3670383
63,2,7185861075956929259,6776522725579256991,7025160676761946611,3459135
