4,2,11,8,3,7
4,2,11,5,10,6
4,2,11,5,10,7
4,2,11,1,2,4
4,2,11,8,3,8
4,2,11,3,8,5
4,2,11,9,6,8
4,2,11,3,8,5
4,2,11,4,5,5
4,2,11,4,5,6
4,2,11,7,7,8
5,5,23,16,3,12
5,5,23,10,9,8
5,5,23,20,12,15
5,5,23,1,5,3
5,5,23,4,4,5
5,5,23,21,14,15
5,5,23,21,14,27
5,5,23,16,3,11
5,5,23,20,12,14
5,5,23,5,20,5
5,5,23,14,13,11
6,2,59,32,51,21
6,5,47,19,10,18
6,2,59,57,30,36
6,5,47,1,5,4
6,5,47,44,32,28
6,2,59,16,46,12
6,5,47,26,16,19
6,2,59,23,47,16
6,2,59,56,15,35
6,2,59,16,46,13
6,2,59,30,57,20
7,2,83,38,31,24
7,2,83,24,11,19
7,2,107,98,79,71
7,2,83,60,23,37
7,2,83,54,25,35
7,2,107,55,103,35
7,2,107,30,34,21
7,2,107,23,22,16
7,2,83,11,56,15
7,2,107,65,77,43
7,2,83,4,16,7
8,5,167,97,41,59
8,2,179,10,129,9
8,2,179,123,33,78
8,2,227,50,48,33
8,2,179,138,5,99
8,5,167,165,67,101
8,2,227,208,155,125
8,2,227,1,2,4
8,2,227,185,162,112
8,5,167,111,156,70
8,2,227,65,208,72
9,13,479,450,421,285
9,2,347,312,222,197
9,5,383,273,244,176
9,2,467,246,214,154
9,7,359,219,117,135
9,5,503,336,401,356
9,2,347,78,33,74
9,5,263,44,95,31
9,2,347,64,167,82
9,13,479,414,9,421
9,5,263,116,179,119
10,11,839,371,412,317
10,5,983,920,266,524
10,2,587,490,548,303
10,2,1019,679,785,504
10,5,863,622,764,435
10,2,563,13,310,12
10,2,563,456,215,369
10,11,719,128,391,83
10,2,587,465,474,290
10,2,563,495,353,312
10,2,1019,922,543,574
11,2,1907,1707,868,1129
11,13,1319,25,779,17
11,5,1823,772,476,846
11,2,1307,915,273,586
11,2,1283,283,152,176
11,5,1487,588,1314,378
11,2,1187,624,1142,396
11,2,1523,875,735,571
11,2,1283,782,139,515
11,5,1823,37,1151,27
11,2,2027,1461,1464,931
12,2,3779,3341,2661,2172
12,17,2999,1540,780,1047
12,2,3779,1120,814,720
12,5,3863,1302,2904,898
12,17,2999,514,1609,329
12,5,2063,450,216,288
12,11,4079,2902,1681,1990
12,5,2903,2697,1874,1785
12,5,3863,1188,2814,810
12,2,2579,2566,2562,1828
12,2,3803,159,3499,166
13,2,5099,1431,1046,923
13,2,6827,4794,4770,4126
13,2,8147,2930,5742,2013
13,7,5639,4651,306,2923
13,7,5399,1537,4561,1029
13,5,5087,3304,227,2307
13,11,8039,549,6096,452
13,11,4679,4091,1859,2757
13,2,7523,799,4224,503
13,2,5939,5824,2887,4003
13,7,4799,4032,1563,2734
14,2,14387,12778,12360,10760
14,2,16139,12275,456,7879
14,2,11483,10901,5443,8329
14,5,15383,14616,75,10016
14,2,12347,7581,11429,4601
14,5,15383,10796,13805,7785
14,5,16223,946,4204,565
14,5,10103,8218,5482,6328
14,5,10607,5921,9010,4308
14,2,16187,14379,13248,12549
14,5,14303,624,3047,410
15,7,27239,24296,18270,17367
15,2,16547,514,14445,343
15,2,20123,688,10783,412
15,2,20627,16841,10042,10762
15,2,21059,12430,8859,8328
15,2,21179,3296,9677,2048
15,7,19079,15811,5157,10314
15,2,30323,29293,16612,19436
15,17,18119,11904,11758,7935
15,2,21419,6463,1650,4157
15,5,24023,23908,6256,15808
16,7,54959,45417,50029,33313
16,2,63587,10680,27302,7775
16,5,52223,17412,6867,16307
16,5,41927,349,21688,250
16,19,34319,28943,23667,27808
16,2,39107,8023,7583,5963
16,2,59747,33328,45518,24177
16,5,39983,18838,26641,16105
16,2,51683,45291,37836,39122
16,2,40499,8936,39881,5816
16,5,57287,20429,37793,14939
17,17,70199,24482,18769,18213
17,2,88547,16844,68847,14047
17,2,86627,84934,26804,66884
17,2,121019,94239,17140,75270
17,2,101939,95271,83579,92091
17,5,93407,77540,91403,61969
17,2,97523,49577,83198,47732
17,2,117779,8073,90204,6564
17,5,71663,32839,31095,24866
17,2,67139,28018,11708,21529
17,11,124199,102096,6586,84712
18,2,199523,24575,6224,18985
18,5,162263,112325,37031,100751
18,2,194003,63766,105799,51726
18,2,170243,9680,86873,7492
18,2,188459,29434,111989,23129
18,2,155027,31428,16061,24480
18,5,223463,11970,125350,10031
18,5,168023,128349,58601,118469
18,7,158519,148678,20287,126264
18,2,229547,121468,97787,122394
18,5,159623,93151,29808,78000
19,5,279023,41027,159664,33632
19,2,522707,408460,451902,412023
19,5,415343,363107,341297,327304
19,5,456047,423513,135681,444776
19,2,304163,49060,194490,44533
19,2,294059,259364,273555,221077
19,2,386363,263419,33279,225464
19,5,487703,290368,321293,325760
19,5,491423,21443,180888,19142
19,5,369263,284123,106630,307063
19,5,376583,359084,275537,387152
20,2,551843,290559,348898,308424
20,5,666983,38064,290855,31847
20,7,678479,312454,408352,334686
20,2,806363,635474,75481,668630
20,2,540539,469190,379796,489196
20,2,618347,299733,386217,314001
20,2,737747,574319,171297,596664
20,5,762647,58642,169278,59643
20,2,717659,20335,392402,15995
20,13,848399,782005,598601,861252
20,2,891659,463516,347915,462246
21,5,2024063,795705,1482619,886245
21,2,1769627,1281008,1050537,1373239
21,2,1580339,742652,172441,830704
21,2,1753139,1309803,1613258,1493261
