,0,1,2,3,4,5,6,7
0,True,True,False,True,True,True,False,True
1,False,False,False,False,False,True,True,True
2,True,False,True,True,False,False,True,False
3,True,True,False,True,True,True,True,False
4,True,False,False,False,True,False,True,True
5,True,False,True,False,True,False,True,True
6,True,True,False,True,True,True,False,True
7,False,True,True,True,False,False,False,False
8,True,True,False,True,False,True,True,True
9,True,True,False,False,True,True,False,False
10,False,True,False,True,True,True,False,False
11,True,True,True,False,True,True,False,False
12,True,False,False,True,True,True,True,True
13,False,False,False,True,True,False,True,False
14,True,False,True,True,False,False,False,False
15,False,True,True,False,False,False,True,False
16,True,True,False,True,False,False,True,True
17,True,False,True,True,True,False,True,True
18,True,False,True,False,False,True,True,True
19,True,True,False,True,True,True,True,True
20,True,False,True,True,False,True,False,True
21,False,True,True,True,False,True,True,True
22,True,False,False,True,True,True,True,True
23,True,True,True,True,False,True,True,True
24,True,False,False,True,True,False,True,True
25,False,True,False,True,True,True,False,True
26,False,True,True,True,False,True,True,False
27,True,True,True,True,False,True,True,False
28,True,False,True,True,True,False,True,False
29,False,True,True,True,False,True,True,True
30,True,True,True,False,True,False,True,True
31,True,True,False,False,False,True,True,False
32,True,False,False,True,True,False,True,False
33,False,False,False,True,False,True,True,True
34,True,True,False,True,True,True,True,False
35,True,True,True,True,True,False,True,True
36,True,True,True,True,False,True,True,True
37,True,True,False,True,True,True,False,True
38,True,True,False,True,False,True,False,False
39,True,False,True,True,False,True,False,True
40,True,True,True,True,True,True,False,False
41,True,True,True,False,True,True,True,False
42,False,True,False,True,True,True,False,False
43,True,False,True,True,False,True,True,True
44,True,True,True,True,True,True,True,True
45,True,True,True,False,True,True,True,True
46,True,False,True,True,False,True,True,False
47,True,True,True,True,True,True,True,True
48,False,True,False,True,True,True,True,True
49,True,True,False,False,False,True,True,True
50,True,True,True,True,False,True,True,False
51,True,True,True,False,False,True,True,False
52,False,False,False,True,False,True,False,True
53,False,False,True,False,False,True,False,True
54,True,True,False,True,True,True,True,False
55,True,True,True,True,True,False,False,False
56,False,True,True,False,True,True,True,True
57,False,True,True,False,False,True,True,True
58,False,True,True,True,True,True,False,False
59,True,False,False,False,False,True,True,False
60,True,True,False,True,False,False,False,True
61,False,True,True,True,False,True,False,False
62,True,False,True,False,True,False,True,True
63,True,False,False,True,False,False,True,False
64,False,True,False,False,True,True,False,False
65,False,True,True,False,True,True,True,True
66,True,True,False,False,True,True,True,True
67,True,True,True,False,False,True,True,True
68,True,True,True,False,False,True,True,True
69,True,False,True,False,True,False,True,False
70,True,True,True,False,False,True,True,False
71,True,True,True,True,True,True,True,True
72,True,True,False,True,False,True,True,False
73,True,True,True,False,True,True,False,True
74,True,True,False,False,False,True,True,True
75,False,True,False,True,False,False,True,False
76,False,True,False,False,True,True,True,False
77,True,True,True,True,True,True,False,False
78,True,False,False,True,True,False,True,True
79,True,True,True,True,True,False,False,True
80,False,False,False,True,False,False,False,True
81,False,True,True,False,True,False,True,True
82,False,False,True,True,True,True,True,True
83,True,False,True,True,False,False,False,True
84,True,False,True,True,False,True,True,True
85,True,True,False,False,False,True,True,True
86,True,True,True,True,True,True,True,True
87,True,True,True,True,True,True,True,True
88,False,True,True,False,False,False,False,False
89,True,True,True,False,False,True,True,True
90,True,True,True,True,False,True,True,False
91,True,False,True,True,False,True,True,True
92,False,True,False,True,True,True,False,False
93,False,False,True,False,True,True,True,True
94,True,False,True,True,True,False,True,True
95,True,True,False,True,True,False,True,False
