,0,1,2,3,4,5,6,7
0,True,True,True,True,True,True,False,True
1,False,True,True,True,True,True,True,False
2,True,True,True,False,True,True,True,False
3,True,False,False,True,True,True,True,True
4,True,True,True,True,True,True,True,True
5,True,False,True,True,True,True,True,False
6,True,True,True,True,True,True,True,False
7,True,True,True,True,False,True,True,False
8,True,False,False,False,True,True,True,True
9,True,True,True,True,True,True,True,True
10,True,False,True,True,False,True,False,False
11,False,True,True,True,True,True,True,True
12,True,True,True,True,True,True,True,True
13,True,True,True,True,False,True,True,False
14,True,True,True,True,True,True,True,True
15,True,True,True,False,True,False,True,False
16,True,True,True,True,True,True,True,True
17,True,True,True,True,True,False,True,True
18,True,True,True,True,True,True,False,True
19,True,True,True,True,False,True,True,True
20,True,True,True,True,True,True,True,True
21,True,False,True,True,True,True,True,True
22,False,True,True,False,True,False,True,True
23,False,True,True,True,True,True,False,True
24,True,True,True,False,True,True,True,True
25,True,True,True,False,True,False,True,True
26,True,True,True,True,True,True,True,True
27,True,True,True,False,False,True,True,True
28,True,True,True,True,True,True,True,True
29,True,True,True,True,False,True,True,True
30,True,True,True,False,True,True,False,True
31,True,True,True,True,True,True,True,True
32,False,True,True,True,False,True,True,True
33,True,False,True,True,True,True,True,True
34,True,False,False,True,True,True,True,True
35,False,True,True,True,False,True,True,True
36,True,True,True,True,True,True,True,True
37,True,True,True,False,False,True,True,True
38,True,True,True,False,False,True,False,True
39,True,True,False,False,True,True,True,False
40,True,True,True,False,True,False,False,True
41,True,True,False,True,True,True,True,True
42,True,False,True,True,False,True,False,True
43,True,False,True,False,True,True,True,True
44,True,True,True,True,True,True,True,True
45,True,True,True,True,False,True,True,True
46,True,True,True,False,True,True,False,True
47,True,True,True,True,False,True,False,True
48,True,False,False,True,True,True,True,True
49,True,True,True,True,True,True,True,True
50,True,True,True,True,True,True,True,True
51,True,True,True,False,True,True,True,True
52,True,True,True,True,True,True,True,True
53,True,True,False,True,True,True,True,True
54,True,True,True,True,True,True,True,True
55,True,True,True,True,True,True,False,True
56,False,True,True,True,True,True,True,True
57,False,True,True,True,True,False,True,True
58,True,True,False,True,True,True,True,True
59,True,True,True,True,True,True,True,True
60,True,True,False,True,True,True,True,True
61,True,True,True,False,True,False,True,True
62,True,True,True,True,True,True,False,False
63,True,False,True,True,True,True,True,True
64,True,True,True,False,True,True,True,True
65,True,True,True,True,True,True,True,True
66,True,True,True,True,True,True,True,True
67,True,True,True,True,True,True,True,True
68,True,True,True,True,True,True,True,True
69,True,True,True,False,True,True,True,True
70,False,False,True,True,True,True,True,True
71,True,True,True,True,True,True,True,True
72,True,True,True,True,True,True,True,True
73,True,True,True,True,True,False,True,True
74,True,True,True,False,True,True,True,True
75,True,True,True,True,False,True,True,True
76,True,False,True,True,True,True,True,True
77,True,True,True,True,True,True,True,True
78,True,True,True,True,True,False,False,True
79,True,True,False,False,True,True,True,True
80,True,True,True,True,True,True,True,True
81,False,False,True,True,True,True,True,True
82,False,True,True,True,True,True,True,True
83,True,True,True,True,False,True,True,True
84,True,False,True,True,True,True,True,True
85,True,False,True,True,True,True,True,True
86,True,True,True,True,True,True,False,True
87,True,True,False,True,True,True,False,True
88,True,True,True,True,True,True,True,True
89,True,True,True,True,False,True,True,False
90,True,False,True,True,True,True,True,True
91,True,True,True,True,True,False,True,True
92,True,True,True,True,True,True,True,True
