,0,1,2,3,4,5,6,7
0,True,False,False,True,False,True,False,True
1,False,True,True,True,True,True,True,False
2,True,True,True,False,True,True,True,True
3,True,True,True,True,True,True,True,False
4,False,True,True,True,True,False,True,True
5,False,True,True,True,True,False,True,True
6,True,True,False,True,True,True,False,True
7,False,True,True,False,True,True,True,True
8,True,True,True,True,True,True,True,True
9,True,True,False,True,True,True,True,True
10,True,True,True,True,True,True,True,True
11,True,False,False,True,True,True,True,False
12,True,True,True,True,True,True,False,False
13,True,False,True,True,True,True,False,True
14,True,True,False,True,True,True,True,False
15,True,True,True,True,True,True,False,True
16,True,True,False,True,True,False,True,True
17,True,False,True,False,True,True,True,True
18,True,False,True,False,True,True,True,True
19,False,True,False,True,True,True,False,True
20,True,False,True,True,False,True,True,True
21,True,True,True,True,True,True,True,False
22,False,False,True,True,True,False,True,True
23,True,False,True,False,True,True,True,True
24,False,True,False,False,False,True,False,False
25,True,False,True,True,True,True,False,True
26,True,False,False,True,True,True,True,True
27,True,True,False,True,True,True,False,True
28,False,True,True,False,True,True,True,False
29,True,False,True,True,False,False,True,True
30,True,True,True,True,True,True,True,False
31,True,False,True,True,True,False,True,True
32,True,True,True,True,True,True,True,True
33,False,True,True,True,True,False,False,True
34,True,False,True,True,False,True,True,True
35,True,False,False,True,False,True,True,False
36,False,True,True,False,False,True,False,True
37,False,True,True,True,True,True,True,True
38,True,True,False,False,True,True,True,False
39,True,True,True,False,False,True,True,True
40,False,False,True,True,False,True,True,True
41,False,True,True,True,True,True,False,True
42,True,True,True,False,True,True,False,True
43,True,False,True,True,True,True,True,True
44,False,True,True,True,True,False,True,False
45,True,False,False,True,True,False,True,False
46,True,True,True,True,True,True,False,True
47,True,True,False,True,True,True,False,False
48,True,True,False,False,False,True,True,True
49,True,False,True,True,True,True,True,False
50,True,True,False,True,True,True,True,True
51,True,True,True,True,True,True,True,True
52,True,False,False,True,True,True,False,True
53,False,True,True,True,True,True,True,True
54,False,True,True,False,True,True,True,True
55,True,False,True,True,False,True,True,True
56,True,True,False,False,True,True,True,True
57,True,True,False,True,True,True,False,True
58,True,True,True,False,True,False,True,False
59,False,False,False,True,True,True,True,True
60,True,True,True,True,False,True,True,True
61,True,True,False,True,True,True,True,True
62,True,True,False,False,True,True,True,True
63,True,False,True,True,True,True,True,False
64,False,True,True,True,True,False,True,False
65,True,True,True,True,True,False,True,False
66,False,True,True,False,True,False,False,True
67,True,True,True,True,True,True,True,True
68,True,True,False,False,True,True,True,True
69,True,True,False,True,True,True,True,True
70,False,True,True,True,True,False,True,True
71,False,True,False,True,False,False,False,True
72,True,True,False,True,False,True,False,True
73,True,True,True,True,True,False,True,True
74,True,True,True,True,True,True,False,True
75,True,True,False,False,False,True,False,True
76,True,True,True,True,False,False,True,True
77,True,False,True,True,True,False,False,True
78,True,True,False,False,True,True,True,True
79,True,False,True,True,True,True,True,True
80,True,True,True,True,True,True,True,False
81,True,True,True,True,False,True,True,True
82,True,True,False,False,True,True,True,True
83,True,True,True,True,True,True,True,False
84,True,True,True,True,True,True,True,False
85,False,True,True,True,False,False,True,False
86,False,True,False,True,True,True,True,False
87,True,False,False,True,True,True,False,False
88,True,True,False,True,True,False,True,True
89,True,True,True,True,True,False,True,True
90,True,True,True,True,False,True,True,True
91,True,True,True,True,False,True,True,True
92,True,True,True,False,True,True,True,False
93,True,True,True,True,True,False,True,False
94,True,False,True,True,True,True,False,False
95,False,True,False,False,True,False,True,False
96,True,False,False,True,True,False,True,True
97,False,False,False,True,True,True,True,True
98,False,False,True,False,True,True,True,True
99,True,True,True,True,True,True,True,True
