,0,1,2,3,4,5,6,7
0,True,True,True,False,False,True,True,True
1,False,False,False,False,False,False,False,False
2,True,True,False,False,False,False,False,False
3,False,False,False,False,False,True,True,True
4,False,False,False,False,False,False,True,True
5,True,True,True,True,True,True,True,True
6,True,True,True,False,False,False,False,False
7,True,True,True,False,False,False,True,True
8,True,True,True,True,False,False,False,False
9,True,True,True,True,False,False,False,True
10,True,True,True,True,True,True,True,True
11,True,True,True,False,False,False,False,False
12,True,True,False,False,False,True,True,True
13,True,True,False,False,False,False,False,False
14,True,True,True,True,True,True,True,True
15,True,True,False,False,False,False,True,True
16,True,True,True,True,False,False,True,True
17,True,True,False,False,False,False,False,False
18,True,True,True,True,True,True,True,True
19,True,True,True,True,False,False,True,True
20,True,True,False,False,False,False,False,False
21,True,False,False,False,False,False,False,False
22,True,True,True,True,True,True,True,True
23,True,False,False,False,False,False,False,True
24,False,False,False,False,False,False,False,False
25,True,True,True,True,False,False,False,True
26,True,True,True,True,False,False,True,True
27,True,True,True,True,False,True,True,True
28,False,False,False,False,False,True,False,False
29,True,True,True,True,False,False,False,True
30,True,True,True,True,False,False,False,False
31,True,False,False,False,False,False,False,True
32,True,True,True,True,True,True,True,True
33,True,True,True,True,False,False,False,False
34,True,True,False,False,False,False,False,False
35,True,False,False,False,False,False,True,True
36,True,True,True,False,False,False,False,True
37,False,False,False,False,False,False,False,False
38,True,True,True,True,True,True,True,True
39,True,False,False,False,False,True,True,True
40,True,True,True,True,False,False,True,True
41,True,False,False,False,False,False,False,True
42,True,True,True,True,True,True,True,True
43,True,True,True,True,False,False,False,False
44,True,True,True,True,False,False,False,False
45,True,True,True,False,False,False,True,True
46,True,True,True,True,False,False,False,False
47,True,True,True,True,False,True,True,True
48,True,True,True,True,True,True,True,True
49,True,True,True,True,True,True,True,True
50,True,True,True,True,False,False,False,True
51,False,False,False,False,False,False,True,True
52,True,False,False,False,False,False,False,False
53,True,True,True,True,True,True,True,True
54,True,True,True,True,True,True,True,True
55,True,True,True,True,True,True,True,True
56,False,False,False,False,False,True,True,True
57,True,True,True,True,True,True,True,True
58,True,True,True,True,True,True,True,True
59,True,True,True,True,False,True,True,True
60,True,True,True,True,False,False,False,False
61,True,True,True,False,False,True,True,True
62,True,True,True,True,False,False,False,True
63,True,True,True,False,False,False,True,True
64,True,False,False,False,False,False,False,False
65,False,False,False,False,False,False,False,False
66,True,True,True,False,False,False,False,True
